,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,access_5k,ln_access_5k,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi
14,华亭镇,嘉定区,0.106507705,174,93.97645108,16428,614.5258019,276,0.376562756,0.674516792,56.07033534,4.026606890856059,5.159055299214529,4.543044230458988,9.70674247507645,6.42085091657049,5.62040086571715
15,南翔镇,嘉定区,0.242753826,498,373.8475863,43166,2904.249051,636,0.673395291,1.031344196,9.391606661,2.2398163819915338,6.210600077024653,5.923848191092328,10.672808427318916,7.973930133631027,6.455198563340122
16,嘉定镇街道,嘉定区,0.249693127,391,200.0773954,22226,2386.263577,595,0.607841219,2.553376757,12.42983013,2.5200992392989074,5.968707559985366,5.298704268691749,10.009018053745592,7.7774840647042325,6.38856140554563
17,外冈镇,嘉定区,0.122145189,314,126.9660809,18874,644.1350591,433,0.335817048,10.42603284,15.02451985,2.709683523171875,5.749392985908253,4.843919971258943,9.845540592581278,6.467908423215756,6.07073772800249
18,安亭镇,嘉定区,0.19657472,1528,502.9106464,28422,1441.90214,2054,0.621193926,1.878865559,24.78040658,3.210053283653157,7.331714969726466,6.220412512967757,10.254918772151807,7.273718451464354,7.627544390488503
19,徐行镇,嘉定区,0.13796804,730,137.8618451,17924,340.2330211,1005,0.404784218,8.087389986,40.17064365,3.693136471394427,6.593044534142437,4.926252061235634,9.793895875906033,5.829630739037385,6.912742820493176
20,新成路街道,嘉定区,0.282800445,313,313.6747496,27828,4324.70179,489,0.629073768,0.782007613,17.66984589,2.8718595647316025,5.746203190540153,5.748356619766972,10.233797987043532,8.372098466699782,6.192362489474872
21,江桥镇,嘉定区,0.227372787,608,406.7093043,29947,2480.193385,1819,0.698355252,1.657906839,19.33608941,2.9619732674078683,6.410174881966167,6.008098690202512,10.307184431581645,7.8160918139414965,7.506042178518122
22,真新街道,嘉定区,0.387530257,121,472.2428105,41044,23616.04396,432,0.813188664,2.21163636,10.25251145,2.327522695084234,4.795790545596741,6.15749328233773,10.622399940982099,10.069681588848331,6.068425588244111
23,马陆镇,嘉定区,0.208863182,648,401.3331303,43644,1818.957658,783,0.537486704,1.205672454,14.56245948,2.678446948832778,6.473890696352274,5.994791831303519,10.68382109477499,7.506018900622125,6.663132695990803
24,四团镇,奉贤区,0.203083226,930,192.3303976,14807,893.2099792,572,0.303227883,1.749474729,20.49573182,3.0202166605644822,6.835184586147301,5.259214713945334,9.602855320908718,6.794821692317385,6.349138991379798
25,庄行镇,奉贤区,0.171025519,686,135.8232174,10727,662.2336915,533,0.195816855,4.691066923,6.763510636,1.9115420801044616,6.530877627725885,4.911354168110712,9.280519206597429,6.495618501952392,6.278521424165844
26,柘林镇,奉贤区,0.164454414,1065,164.2361656,10016,547.421074,1038,0.299008585,17.49824858,35.03571774,3.5563680479834265,6.970730078143525,5.101305426115694,9.211939093339879,6.3052182942214,6.945051063725834
27,海湾镇,奉贤区,0.115826463,687,43.45752743,17109,137.1292011,912,0.205492662,18.97060719,186.8758327,5.230444400054756,6.532334292222349,3.771784080204753,9.747359919824648,4.920923555136118,6.815639990074331
28,金汇镇,奉贤区,0.237286404,1342,202.1810853,21526,944.2073044,713,0.306907686,6.739153371,27.97831547,3.331429762635819,7.201916317531627,5.309163757700425,9.977016785824244,6.850345744155129,6.569481420414296
29,青村镇,奉贤区,0.202001591,1129,165.1450966,17976,765.4694562,639,0.292035878,11.56050811,106.3233786,4.666485191552461,7.029087564149662,5.1068244608117075,9.796792813865165,6.640489313844476,6.459904454377535
30,友谊路街道,宝山区,0.284084046,129,128.7542788,34543,13248.05645,335,0.741560742,0.830660591,9.715093323,2.273680688856348,4.859812404361672,4.857905772389687,10.449960203748262,9.491606137636495,5.814130531825066
31,吴淞街道,宝山区,0.296653856,171,87.09943764,37273,9956.748118,232,0.695184135,1.982333506,17.32586501,2.852200472256713,5.14166355650266,4.467050427350817,10.526024482928522,9.20600580309111,5.44673737166631
32,大场镇,宝山区,0.224040875,708,372.2047334,41873,10221.61857,1045,0.754920993,1.663405181,5.875727922,1.7708299539720727,6.56244409369372,5.919444061483546,10.642396506792736,9.232260224016482,6.951772164398911
33,庙行镇,宝山区,0.282706875,108,97.81543306,45015,16627.1538,219,0.821206333,1.01721882,3.808085821,1.3371266537024749,4.68213122712422,4.583082366840795,10.714751046542577,9.718792409012634,5.389071729816501
34,张庙街道,宝山区,0.204812715,34,143.8483664,32583,30635.21949,206,0.85801495,0.921260094,3.701959741,1.3088623391597043,3.5263605246161616,4.968759733659177,10.391545958948146,10.32990558981501,5.327876168789581
35,月浦镇,宝山区,0.150255881,361,161.7424652,25791,3457.199727,881,0.726268711,0.94212887,3.029713505,1.108468062245599,5.8888779583328805,5.086005349297534,10.157780872842554,8.148214212912842,6.78105762593618
36,杨行镇,宝山区,0.190627601,499,240.1752481,36944,6179.218684,1082,0.765669285,2.305873917,12.12944755,2.495636177813271,6.212606095751519,5.481368857292042,10.517158531594276,8.728947115922011,6.9865664594064265
37,淞南镇,宝山区,0.209638982,257,128.1669258,38132,9196.659731,613,0.821862513,0.816365537,4.193378871,1.4335068220841711,5.54907608489522,4.8533335221220995,10.548809103613468,9.126595624392884,6.418364935936212
38,罗店镇,宝山区,0.200587287,542,215.8556841,32850,4954.240773,571,0.545555617,1.084419592,6.997074613,1.9454921492770056,6.295266001439646,5.37461005521974,10.399707023912757,8.50799921060425,6.3473892096560105
39,罗泾镇,宝山区,0.177001498,445,74.6764782,18594,1864.149652,273,0.449220206,3.310964504,8.31098208,2.1175777823900064,6.09807428216624,4.313165159018405,9.830594227015803,7.530560277430561,5.60947179518496
40,顾村镇,宝山区,0.20303921,571,331.7560812,32691,8079.726728,849,0.616709783,3.382903682,24.28597054,3.189898839586339,6.3473892096560105,5.804400003714998,10.394855089644995,8.997113330151127,6.744059186311348
